Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
4/9/2018,92,13:17,-0.56,NoFr01,533,5,8.5,0.3,4.63,,
4/20/2018,110,13:20,7.8,NoFr01,508,9.6,8.5,0.2,5.39,,
5/21/2018,141,11:04,21.11,NoFr01,611,18,8.42,0.3,,,
6/28/2018,179,11:34,21.67,NoFr01,534.4,18.06,8.21,0.26,19.3,,
7/3/2018,184,10:17,25.56,NoFr01,622,21.5,8.36,0.3,3.41,,
7/11/2018,192,12:32,25,NoFr01,626,21.9,8.39,0.3,,9.89,
7/26/2018,207,10:19,22.22,NoFr01,623,21.5,8.35,0.3,,9.09,
8/7/2018,219,11:35,26.11,NoFr01,717,22.6,8.35,0.35,,8.91,
9/3/2018,246,15:53,32.22,NoFr01,725,26.1,8.23,0.35,,9.64,
10/24/2018,297,11:42,8.33,NoFr01,647.8,8,8.39,0.32,,13.94,
11/5/2018,309,12:37,,NoFr01,569.3,11.8,8.23,0.28,,12.58,
12/13/2018,347,11:08,7.22,NoFr01,618.2,3.3,8.28,0.3,,16.04,
12/17/2018,351,11:16,4.44,NoFr01,513.6,6.2,8.01,0.25,,13.88,
2/15/2019,411,10:46,7.78,NoFr01,569.5,6.7,8.09,0.28,,15.03,
3/3/2019,427,11:35,3.9,NoFr01,600.5,5.5,8.21,0.29,,13.28,
3/6/2019,430,10:53,-8.89,NoFr01,665.9,-0.1,8,0.32,6.42,15.5,
3/26/2019,450,14:52,7.78,NoFr01,599.3,8.8,7.95,0.29,3.52,13.32,
3/29/2019,453,11:12,12.2,NoFr01,620.5,8.8,8.19,0.3,,12.23,
4/9/2019,464,14:17,20,NoFr01,524.2,17.1,8.04,0.25,3.92,11.42,
4/12/2019,467,11:43,23.9,NoFr01,609.2,15.2,8.42,0.3,,10.75,
4/16/2019,471,14:19,20,NoFr01,575.9,13.6,8.47,0.28,,12.07,
5/31/2019,516,10:20,21.11,NoFr01,610,18.6,8.31,0.3,28.4,9.15,35.52
6/4/2019,521,9:42,17.78,NoFr01,648,13.7,8.29,0.32,,11.18,36.56
6/12/2019,528,10:17,19.44,NoFr01,634,15.9,8.45,0.31,3.15,9.76,35.26
6/28/2019,544,10:34,25.56,NoFr01,545.4,19.9,8.55,0.26,,8.61,42.25
7/4/2019,550,11:26,27.22,NoFr01,542,23.1,8.5,0.26,,9.46,34.21
7/11/2019,557,12:01,24.44,NoFr01,572,22.4,8.35,0.28,8.07,9.39,29.65
7/18/2019,564,10:08,22.22,NoFr01,496.9,21.4,8.45,0.24,10.7,9.33,26.84
7/24/2019,570,9:40,18.33,NoFr01,622,17.2,8.42,0.3,,9.64,26.29
7/25/2019,571,9:41,18.89,NoFr01,644,17.5,8.48,0.31,,9.49,24.64
8/1/2019,578,9:56,21.11,NoFr01,629,20.6,8.49,0.31,2.8,8.88,26.73
8/8/2019,585,9:21,21.11,NoFr01,643,19.9,8.53,0.31,4.55,6.42,32.6
8/22/2019,599,9:10,22.78,NoFr01,697,20.9,8.39,0.34,4.77,4.3,
8/30/2019,607,14:17,27.78,NoFr01,680,22.5,8.59,0.33,,6.89,
9/18/2019,626,11:45,21.11,NoFr01,814,19,8.18,0.4,2.84,9.06,
10/2/2019,640,14:59,30.56,NoFr01,744,23.6,8.24,0.36,,8.36,
10/23/2019,661,15:07,14.44,NoFr01,676,12.6,8.16,0.33,,11.43,31.6
11/14/2019,683,15:10,-3,NoFr01,644.5,4.3,8.02,0.31,2.21,14.38,36.86
11/19/2019,688,15:40,4.44,NoFr01,737.5,4.6,7.92,0.36,,8.81,34.86
12/5/2019,704,13:14,3,NoFr01,628.8,4.7,8.29,0.31,21.11,12.32,28.96
12/11/2019,710,12:16,-2.78,NoFr01,510,3,7.83,0.24,,,14.97
12/18/2019,717,12:46,-3.33,NoFr01,539.1,2.8,7.9,0.26,,13.24,26.04
12/26/2019,725,11:22,9.44,NoFr01,618.4,3.4,7.97,0.3,,13.32,29.17
1/8/2020,738,10:34,1.11,NoFr01,593,2.8,7.84,0.29,,12.35,22.82
2/5/2020,766,12:19,2.22,NoFr01,565.1,5.7,8.05,0.27,,11.75,25.73
2/20/2020,781,,,NoFr01,379.2,3.4,8.14,0.28,2.68,13.49,21.08
3/9/2020,799,10:17,12.22,NoFr01,575.1,4.9,8.35,0.28,,13.22,23.64
3/26/2020,816,11:11,12.78,NoFr01,532.6,8.1,8.42,0.26,,11.14,26.57
4/10/2020,831,8:33,1.11,NoFr01,466.8,6,8.24,0.23,,11.17,26.7
5/1/2020,852,7:56,7.22,NoFr01,416.2,9.8,8.23,0.2,,10.64,19.73
5/8/2020,859,8:36,7.78,NoFr01,501.7,9.7,8.21,0.24,,10.57,27.83
5/13/2020,864,8:10,5,NoFr01,509.8,6.5,8.52,0.25,,12.64,31.93
5/20/2020,871,8:19,8.89,NoFr01,597.3,12.5,8.29,0.29,,10.45,20.28
